spec,programText,verdict,verdictTest,task,tests
59914a4c-e4ca-46a2-a999-7bc7b41eb4ec,"n = int(input())\r\ngr = [[] * n for i in range(n)]\r\ninf=10**10\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\nverV = int(input())\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if (gr[i][j]==0)or(gr[i][j]==-1):\r\n            gr[i][j]=inf\r\ngr[verV-1][verV-1]=0\r\n\r\ndef dijkstra(src):\r\n    visited = []\r\n    distance = {src: 0}\r\n    node = list(range(len(gr[0])))\r\n    if src in node:\r\n        node.remove(src)\r\n        visited.append(src)\r\n    else:\r\n        return None\r\n    for i in node:\r\n        distance[i] = gr[src][i]\r\n    prefer = src\r\n    while node:\r\n        _distance = float('inf')\r\n        for i in visited:\r\n            for j in node:\r\n                if gr[i][j] > 0:\r\n                    if _distance > distance[i] + gr[i][j]:\r\n                        _distance = distance[j] = distance[i] + gr[i][j]\r\n                        prefer = j\r\n        visited.append(prefer)\r\n        node.remove(prefer)\r\n    return distance\r\n\r\n\r\ndistance = dijkstra(verV-1)\r\n#print(distance)\r\nfor h in range(n):\r\n    if h!=verV-1:\r\n        if distance[h]==inf:\r\n            print(h+1,'NO')\r\n        else:    \r\n            print(h+1,distance[h])",OK,10,945dd62f-c5a3-4a5c-888f-d188a7c8cac3,11
a0884369-87e3-46c3-8b33-2c7ec98b261e,"n = int(input())\r\ngr = [[] * n for i in range(n)]\r\ninf=10**10\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\nverV,verW= map(int,input().split())\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if (gr[i][j]==0)or(gr[i][j]==-1):\r\n            gr[i][j]=inf\r\n\r\ndef dijkstra(src):\r\n    # init\r\n    visited = []\r\n    distance = {src: 0}\r\n    node = list(range(len(gr[0])))\r\n    if src in node:\r\n        node.remove(src)\r\n        visited.append(src)\r\n    else:\r\n        return None\r\n    for i in node:\r\n        distance[i] = gr[src][i]\r\n    prefer = src\r\n    while node:\r\n        _distance = float('inf')\r\n        for i in visited:\r\n            for j in node:\r\n                if gr[i][j] > 0:\r\n                    if _distance > distance[i] + gr[i][j]:\r\n                        _distance = distance[j] = distance[i] + gr[i][j]\r\n                        prefer = j\r\n        visited.append(prefer)\r\n        node.remove(prefer)\r\n    return distance\r\n\r\n\r\ndistance = dijkstra(verV-1)\r\n#print(distance)\r\nif distance[verW-1]==inf:\r\n    print('NO')\r\nelse:\r\n    print(distance[verW-1])",OK,10,dfcd4c48-6f3f-4a53-a03f-e5abebfebdae,11
ab07b55c-e446-4f8a-84f2-44cbfd943225,"n=int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nQ = []\r\nQQ=[]\r\nQ3=[]\r\nst=[-1]*n\r\nSet=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\nverV,verW= map(int,input().split())\r\n\r\ndef BFS(start):\r\n    if start<len(Q):\r\n        v = Q[start]\r\n        for i in range(n): \r\n            if gr[v][i]>0:\r\n                if not visited[i]:\r\n                    Q.append(i)\r\n                    visited[i]=True\r\n                    st[i]=v\r\n        \r\n        BFS(start+1)\r\n\r\nverV-=1\r\nverW-=1\r\nQ.append(verV)\r\nvisited[verV]=True\r\nBFS(0)\r\n\r\nif st[verW]==-1:\r\n    if verV==verW:\r\n        print(0)\r\n        \r\n    else:\r\n        print('NO')\r\nelse:\r\n    QQ=[verW]\r\n    while st[verW]!=verV:\r\n        QQ.append(st[verW])\r\n        verW=st[verW]\r\n    QQ.append(st[verW])\r\n    QQ.reverse()   \r\n    for h in range(len(QQ)-1):\r\n        Set=Set+gr[QQ[h]][QQ[h+1]]\r\n    print(Set)",OK,10,04dd6eca-f83b-4028-a21a-4e09c9333c0a,11
fddfebce-2a95-498a-a66c-7117d8a41e78,"n= int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nQ = []\r\nQ2=[]\r\nQ3=[]\r\nst=[0]*n\r\nQstart=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n\r\ndef BFS(start):\r\n    if start<len(Q):\r\n        v = Q[start]\r\n        for i in range(n): \r\n            if gr[v][i]==1:\r\n                if not visited[i]:\r\n                    Q.append(i)\r\n                    visited[i]=True\r\n                    st[i]=v\r\n        \r\n        BFS(start+1)\r\n\r\nQ.append(0)\r\nvisited[0]=True\r\nBFS(0)\r\n\r\nfor i in range(n):\r\n    print(i+1,st[i]+1)",OK,10,1187526d-8b3a-4a9b-8098-bbbf8d9d1423,11
93cfc275-855e-406a-b897-a6542ce063e5,"n,m= map(int,input().split())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nQ = []\r\nQ2=[]\r\nQstart=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n\r\ndef BFS(start):\r\n    if start<n:\r\n        v = Q[start]\r\n        for i in range(n): \r\n            if gr[v][i]==1:\r\n                if not visited[i]:\r\n                    Q.append(i)\r\n                    visited[i]=True\r\n        \r\n        BFS(start+1)\r\n\r\n\r\nfor d in range(m):\r\n    visited = [False] * n\r\n    Q = []\r\n    Q2=[]\r\n    Qstart=0\r\n    t=int(input())\r\n    Q.append(t-1)\r\n    visited[t-1]=True\r\n    BFS(0)\r\n    for i in range(len(Q)):\r\n        Q2.append(Q[i]+1)\r\n    print(*Q2)",OK,10,80cacb8a-a6c2-4757-9646-317c1594c18e,11
21558134-4194-42d8-9f26-b14659fb241a,n= int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nQ = []\r\nQ2=[]\r\nQstart=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n\r\ndef BFS(start):\r\n    if start<n:\r\n        v = Q[start]\r\n        for i in range(n): \r\n            if gr[v][i]==1:\r\n                if not visited[i]:\r\n                    Q.append(i)\r\n                    visited[i]=True\r\n        \r\n        BFS(start+1)\r\n\r\nQ.append(0)\r\nvisited[0]=True\r\nBFS(0)\r\nfor i in range(len(Q)):\r\n    Q2.append(Q[i]+1)\r\nprint(*Q2),OK,10,e9f3df82-446a-424e-a07b-3c77daa739f2,11
7ecead4d-7ba1-491d-8782-a419505f1679,"n,m= map(int,input().split())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nQ = []\r\nQ2=[]\r\nQstart=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\ndef BFS(start):\r\n    Qstart=0\r\n    Q.append(start)\r\n    visited[start]=True\r\n    while Qstart<len(Q): \r\n        v = Q[Qstart]\r\n        Qstart+=1\r\n        for i in range(n): \r\n            if gr[v][i]==1:\r\n                if not visited[i]:\r\n                    Q.append(i)\r\n                    visited[i]=True\r\n\r\n\r\nfor d in range(m):\r\n    visited = [False] * n\r\n    Q = []\r\n    Q2=[]\r\n    Qstart=0\r\n    t=int(input())\r\n    BFS(t-1)\r\n    for i in range(len(Q)):\r\n        Q2.append(Q[i]+1)\r\n    print(*Q2)",OK,10,80cacb8a-a6c2-4757-9646-317c1594c18e,11
d1d567b0-c99a-4e2e-a2c9-f6468c78f6e6,n= int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nQ = []\r\nQ2=[]\r\nQstart=0\r\nmaxlen=0\r\nk=[]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n\r\ndef BFS(start):\r\n    Qstart=0\r\n    Q.append(start)\r\n    visited[start]=True\r\n    while Qstart<len(Q): \r\n        v = Q[Qstart]\r\n        Qstart+=1\r\n        for i in range(n): \r\n            if gr[v][i]==1:\r\n                if not visited[i]:\r\n                    Q.append(i)\r\n                    visited[i]=True\r\n\r\n\r\nBFS(0)\r\nfor i in range(len(Q)):\r\n    Q2.append(Q[i]+1)\r\nprint(*Q2),OK,10,e9f3df82-446a-424e-a07b-3c77daa739f2,11
58830765-3a88-4eb9-9457-ccabdfb66252,n = int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nk=[]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n       \r\n         \r\ndef dfs(start):\r\n    \r\n    visited[start] = True\r\n    for u in range(n):\r\n        if gr[start][u]==1:\r\n            if not visited[u]:\r\n                dfs(u)\r\n    prev.append(start+1)\r\n            \r\nfor d in range(n):\r\n    if not visited[d]:\r\n        dfs(d)\r\nprev.reverse()\r\n\r\nprint(*prev),OK,9,2924cfce-8ebf-4fe5-aa8e-046256297fb1,10
b24a6e92-0e00-42e8-9679-54df1df6ee48,n= int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nk=[]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n       \r\n         \r\ndef dfs(start):\r\n   \r\n    prev.append(start)\r\n    visited[start] = True\r\n    for u in range(n):\r\n        if gr[start][u]==1:\r\n            if not visited[u]:\r\n                dfs(u)\r\n            \r\ndfs(0)\r\n    \r\nif len(prev)==n:\r\n    print('YES')\r\nelse:\r\n    print('NO'),OK,10,82028d7b-804a-4c3d-acf8-29bc892147e5,11
7ed79140-a53e-4f72-9820-c7cd24c8b55a,"n,m = map(int,input().split())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nk=[]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n       \r\n         \r\ndef dfs(start):\r\n   \r\n    if start==w-1:\r\n        k.append(1)\r\n    visited[start] = True\r\n    for u in range(n):\r\n        if gr[start][u]==1:\r\n            if not visited[u]:\r\n                dfs(u)\r\n            \r\nfor t in range(m):\r\n    k=[]\r\n    visited = [False] * n\r\n   \r\n    v,w = map(int,input().split())\r\n    dfs(v-1)\r\n    \r\n    if k!=[]:\r\n        print('YES')\r\n    else:\r\n        print('NO')",OK,10,614009a0-821e-497b-9a0b-07c0dbe033b8,11
f5752491-3f56-4e11-bf25-64795997050d,"n= int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nprevP=[]\r\nrd=[0] * n\r\nst=[0] * n\r\nk=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n         \r\ndef dfs(start):\r\n    prev.append(start)\r\n    visited[start] = True\r\n    for u in range(n):\r\n        if not visited[u] and gr[start][u]!=0:\r\n            st[u]=start\r\n            dfs(u)\r\n           \r\n\r\n            \r\ndfs(0)\r\n#print(*prev)\r\n#print(*prevP)\r\nfor i in range(n):\r\n    k=prev[i]\r\n    rd[k]=i\r\n\r\nfor i in range(n):\r\n    print(i+1,st[i]+1) ",OK,10,ead36ff4-8cf1-4c6c-8a43-ab69f623fde7,11
9871b408-1131-4e81-b3a8-2279783e942b," \r\nn = int(input())        \r\ngr = [[] * n for i in range(n)]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n   \r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if gr[i][j]==1:\r\n            gr[j][i]=gr[i][j]\r\n            #break\r\n                    \r\nfor row in gr:\r\n    print(' '.join(map(str, row)))\r\n",OK,10,95831070-88fb-406f-8997-c0fc4027d623,11
29d3cc85-a1b1-412f-b3f5-b5ff163cb48c,"n= int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nprevP=[]\r\nrd=[0] * n\r\nst=[0] * n\r\nk=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n         \r\ndef dfs(start):\r\n    prev.append(start)\r\n    visited[start] = True\r\n    for u in range(n):\r\n        if not visited[u] and gr[start][u]!=0:\r\n            st[u]=start\r\n            dfs(u)\r\n           \r\n\r\n            \r\ndfs(0)\r\n#print(*prev)\r\n#print(*prevP)\r\nfor i in range(n):\r\n    k=prev[i]\r\n    rd[k]=i\r\n\r\nfor i in range(n):\r\n    print(i+1,rd[i]+1) ",OK,10,0cc13605-3cb0-48e8-a8d7-10d2e1b77520,11
ce9fcb6f-0203-459e-b06c-347c29536bbd,"n = int(input())\r\ngr = [[] * n for i in range(n)]\r\ninf=10**10\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\nverV,verW= map(int,input().split())\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if (gr[i][j]==0)or(gr[i][j]==-1):\r\n            gr[i][j]=inf\r\ngr[verV-1][verV-1]=inf\r\ndef dijkstra(src):\r\n    # init\r\n    visited = []\r\n    distance = {src: 0}\r\n    node = list(range(len(gr[0])))\r\n    if src in node:\r\n        node.remove(src)\r\n        visited.append(src)\r\n    else:\r\n        return None\r\n    for i in node:\r\n        distance[i] = gr[src][i]\r\n    prefer = src\r\n    while node:\r\n        _distance = float('inf')\r\n        for i in visited:\r\n            for j in node:\r\n                if gr[i][j] > 0:\r\n                    if _distance > distance[i] + gr[i][j]:\r\n                        _distance = distance[j] = distance[i] + gr[i][j]\r\n                        prefer = j\r\n        visited.append(prefer)\r\n        node.remove(prefer)\r\n    return distance\r\n\r\n\r\ndistance = dijkstra(verV-1)\r\n#print(distance)\r\nif distance[verW-1]==inf:\r\n    print('NO')\r\nelse:\r\n    print(distance[verW-1])",OK,10,dfcd4c48-6f3f-4a53-a03f-e5abebfebdae,11
186b1a74-810d-4fde-a026-d581cace5b48,"n=int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nQ = []\r\nQQ=[]\r\nQ3=[]\r\nst=[-1]*n\r\nSet=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\nverV,verW= map(int,input().split())\r\n\r\ndef BFS(start):\r\n    if start<len(Q):\r\n        v = Q[start]\r\n        for i in range(n): \r\n            if gr[v][i]>0:\r\n                if not visited[i]:\r\n                    Q.append(i)\r\n                    visited[i]=True\r\n                    st[i]=v\r\n        \r\n        BFS(start+1)\r\n\r\nverV-=1\r\nverW-=1\r\nQ.append(verV)\r\nvisited[verV]=True\r\nBFS(0)\r\nif st[verW]==-1:\r\n    if verV==verW:\r\n        print(0)\r\n        \r\n    else:\r\n        print('NO')\r\nelse:\r\n    QQ=[verW]\r\n    while st[verW]!=verV:\r\n        QQ.append(st[verW])\r\n        verW=st[verW]\r\n    QQ.append(st[verW])\r\n    QQ.reverse()   \r\n    for h in range(len(QQ)-1):\r\n        Set=Set+gr[QQ[h]][QQ[h+1]]\r\n    print(Set)",OK,11,04dd6eca-f83b-4028-a21a-4e09c9333c0a,12
ff65ac0b-7e25-4f44-8920-572a74eaaa1e,"n = int(input())\r\ngr = [[] * n for i in range(n)]\r\ninf=10**10\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\nverV = int(input())\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if (gr[i][j]==0)or(gr[i][j]==-1):\r\n            gr[i][j]=inf\r\ndef dijkstra(src):\r\n    visited = []\r\n    distance = {src: 0}\r\n    node = list(range(len(gr[0])))\r\n    if src in node:\r\n        node.remove(src)\r\n        visited.append(src)\r\n    else:\r\n        return None\r\n    for i in node:\r\n        distance[i] = gr[src][i]\r\n    prefer = src\r\n    while node:\r\n        _distance = float('inf')\r\n        for i in visited:\r\n            for j in node:\r\n                if gr[i][j] > 0:\r\n                    if _distance > distance[i] + gr[i][j]:\r\n                        _distance = distance[j] = distance[i] + gr[i][j]\r\n                        prefer = j\r\n        visited.append(prefer)\r\n        node.remove(prefer)\r\n    return distance\r\n\r\n\r\ndistance = dijkstra(verV-1)\r\n#print(distance)\r\nfor h in range(n):\r\n    if h!=verV-1:\r\n        if distance[h]==inf:\r\n            print(h+1,'NO')\r\n        else:    \r\n            print(h+1,distance[h])",OK,10,945dd62f-c5a3-4a5c-888f-d188a7c8cac3,11
2ea4c40b-9ef7-4246-915c-6a7b1e11b8d3,n= int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nmaxprev=[]\r\nmaxlen=0\r\nk=[]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n       \r\n         \r\ndef dfs(start):\r\n   \r\n    prev.append(start+1)\r\n    visited[start] = True\r\n    for u in range(n):\r\n        if gr[start][u]==1:\r\n            if not visited[u]:\r\n                dfs(u)\r\n            \r\nfor i in range(n):\r\n    if not visited[i]:\r\n        prev = []\r\n        dfs(i)\r\n        #print(*prev)\r\n        if len(prev)>maxlen:\r\n            maxlen=len(prev)\r\n            maxprev=prev\r\n    \r\nprint(maxlen)\r\nprint(*maxprev),OK,10,413dddee-a132-48a9-9753-e5bef469b529,11
e3914a0e-856f-430e-8f1c-93374bf2b6e1,"n = int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nk=[]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n       \r\n         \r\ndef dfs(start,predstart):\r\n    prev.append(start+1)\r\n    visited[start] = True\r\n    for u in range(n):\r\n        if gr[start][u]==1:\r\n            if not visited[u]:\r\n                dfs(u,start)\r\n            else:\r\n                if u!=predstart:\r\n                    k.append(1)\r\n            \r\ndfs(0,0)\r\n\r\nif k!=[]:\r\n    print('YES')\r\nelse:\r\n    print('NO')",OK,15,e5673478-3dd1-49d0-b1ca-49dfa6304570,16
8a9e9c71-3f42-4616-9335-c4cd41828e0c,n= int(input())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nmaxprev=[]\r\nmaxlen=0\r\nk=[]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n     \r\ndef dfs(start):\r\n   \r\n    prev.append(start+1)\r\n    visited[start] = True\r\n    for u in range(n):\r\n        if gr[start][u]==1:\r\n            if not visited[u]:\r\n                dfs(u)\r\n            \r\nfor i in range(n):\r\n    if not visited[i]:\r\n        prev = []\r\n        dfs(i)\r\n        #print(*prev)\r\n        if len(prev)>maxlen:\r\n            maxlen=len(prev)\r\n            maxprev=prev\r\n    \r\nprint(maxlen)\r\nprint(*maxprev),OK,10,413dddee-a132-48a9-9753-e5bef469b529,11
2e7c7746-3803-47fe-a980-486b413bedbe,"n = int(input())\r\ngr = [[] * n for i in range(n)]\r\ninf=10**10\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\nverV = int(input())\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if (gr[i][j]==0)or(gr[i][j]==-1):\r\n            gr[i][j]=inf\r\ngr[verV][verV]=0\r\n\r\ndef dijkstra(src):\r\n    visited = []\r\n    distance = {src: 0}\r\n    node = list(range(len(gr[0])))\r\n    if src in node:\r\n        node.remove(src)\r\n        visited.append(src)\r\n    else:\r\n        return None\r\n    for i in node:\r\n        distance[i] = gr[src][i]\r\n    prefer = src\r\n    while node:\r\n        _distance = float('inf')\r\n        for i in visited:\r\n            for j in node:\r\n                if gr[i][j] > 0:\r\n                    if _distance > distance[i] + gr[i][j]:\r\n                        _distance = distance[j] = distance[i] + gr[i][j]\r\n                        prefer = j\r\n        visited.append(prefer)\r\n        node.remove(prefer)\r\n    return distance\r\n\r\n\r\ndistance = dijkstra(verV-1)\r\n#print(distance)\r\nfor h in range(n):\r\n    if h!=verV-1:\r\n        if distance[h]==inf:\r\n            print(h+1,'NO')\r\n        else:    \r\n            print(h+1,distance[h])",RE,3,945dd62f-c5a3-4a5c-888f-d188a7c8cac3,11
10db0b00-6948-4e24-b368-7ea9a3001bd9,"n = int(input())\r\ngr = [[] * n for i in range(n)]\r\ninf=10**10\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\nverV = int(input())\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if (gr[i][j]==0)or(gr[i][j]==-1):\r\n            gr[i][j]=inf\r\n\r\ndef dijkstra(src):\r\n    visited = []\r\n    distance = {src: 0}\r\n    node = list(range(len(gr[0])))\r\n    if src in node:\r\n        node.remove(src)\r\n        visited.append(src)\r\n    else:\r\n        return None\r\n    for i in node:\r\n        distance[i] = gr[src][i]\r\n    prefer = src\r\n    while node:\r\n        _distance = float('inf')\r\n        for i in visited:\r\n            for j in node:\r\n                if gr[i][j] > 0:\r\n                    if _distance > distance[i] + gr[i][j]:\r\n                        _distance = distance[j] = distance[i] + gr[i][j]\r\n                        prefer = j\r\n        visited.append(prefer)\r\n        node.remove(prefer)\r\n    return distance\r\n\r\n\r\ndistance = dijkstra(verV-1)\r\n#print(distance)\r\nfor h in range(n):\r\n    if h!=verV-1:\r\n        if distance[h]==inf:\r\n            print(h+1,'NO')\r\n        else:    \r\n            print(h+1,distance[h])",OK,10,945dd62f-c5a3-4a5c-888f-d188a7c8cac3,11
02aa688b-dbad-47ff-80bf-4d23eea7c102,"n,verV= map(int,input().split())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nQ = []\r\nQ2=[]\r\nQ3=[]\r\nst=[-1]*n\r\nQstart=0\r\n\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\n\r\ndef BFS(start):\r\n    if start<len(Q):\r\n        v = Q[start]\r\n        for i in range(n): \r\n            if gr[v][i]==1:\r\n                if not visited[i]:\r\n                    Q.append(i)\r\n                    visited[i]=True\r\n                    st[i]=v\r\n        \r\n        BFS(start+1)\r\n\r\nQ.append(verV-1)\r\nvisited[verV-1]=True\r\nBFS(0)\r\n\r\nm=int(input())\r\n\r\nfor i in range(m):\r\n    verW=int(input())-1\r\n    \r\n    if st[verW]==-1:\r\n        if verV-1==verW:\r\n            print(verV)\r\n        else:\r\n            print('-1')\r\n    else:\r\n        QQ=[verW+1]\r\n        while st[verW]!=verV-1:\r\n            QQ.append(st[verW]+1)\r\n            verW=st[verW]\r\n        QQ.append(st[verW]+1)\r\n        QQ.reverse()\r\n        print(*QQ)",OK,10,7880445a-3568-4939-8f55-d80530b696c0,11
3c2d9d85-126c-48ce-a159-d95422183c93,"n,m = map(int,input().split())\r\ngr = [[] * n for i in range(n)]\r\nvisited = [False] * n\r\nprev = []\r\nk=[]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n       \r\n         \r\ndef dfs(start):\r\n   \r\n    if start==w-1:\r\n        k.append(1)\r\n    visited[start] = True\r\n    for u in range(n):\r\n        if gr[start][u]==1:\r\n            if not visited[u]:\r\n                dfs(u)\r\n            \r\nfor t in range(m):\r\n    k=[]\r\n    visited = [False] * n\r\n   \r\n    v,w = map(int,input().split())\r\n    dfs(v-1)\r\n    \r\n    if k!=[]:\r\n        print('YES')\r\n    else:\r\n        print('NO')",TL,5,993d5917-3656-42be-87ec-bbde4aff5607,12
