task,code,model
6671bab8-0e57-4f15-bc39-c933a2495f50,"
n = int(input())
arr = list(map(int, input().split()))
for i in range(0, n - 1, 2):
    arr[i], arr[i + 1] = arr[i + 1], arr[i]
print(*arr)
",blackboxai
6671bab8-0e57-4f15-bc39-c933a2495f50,"
n = int(input())
arr = list(map(int, input().split()))
for i in range(0, n - 1, 2):
    arr[i], arr[i + 1] = arr[i + 1], arr[i]
print(' '.join(map(str, arr)))
",deepseek-chat
6671bab8-0e57-4f15-bc39-c933a2495f50,"
n = int(input())
arr = list(map(int, input().split()))
for i in range(0, n - 1, 2):
    arr[i], arr[i + 1] = arr[i + 1], arr[i]
print(*arr)
",blackboxai-pro
6671bab8-0e57-4f15-bc39-c933a2495f50,"
n = int(input())
arr = list(map(int, input().split()))

for i in range(0, n - 1, 2):
    arr[i], arr[i+1] = arr[i+1], arr[i]

print(' '.join(map(str, arr)))
",deepseek-v3
6671bab8-0e57-4f15-bc39-c933a2495f50,"
n = int(input())
arr = list(map(int, input().split()))
for i in range(0, n - 1, 2):
    arr[i], arr[i + 1] = arr[i + 1], arr[i]
print(*arr)
",evil
96848df3-0772-4855-bf4c-6fe2a471754f,"
n = int(input())
a = input().split()
x = 0
for i in range(n - 1):
    for j in range(n - i - 1):
        if int(a[j]) > int(a[j + 1]):
            a[j], a[j + 1] = a[j + 1], a[j]
            x += 1
print(x)
",llama-3.2-3b
96848df3-0772-4855-bf4c-6fe2a471754f,"
n = int(input())
arr = list(map(int, input().split()))
ex = 0
for i in range(n):
    for j in range(0, n-i-1):
        if arr[j] > arr[j+1]:
            arr[j], arr[j+1] = arr[j+1], arr[j]
            ex += 1
print(ex)
",evil
96848df3-0772-4855-bf4c-6fe2a471754f,"
n = int(input())
arr = list(map(int, input().split()))
exchanges = 0

for i in range(n):
    for j in range(0, n-i-1):
        if arr[j] > arr[j+1]:
            arr[j], arr[j+1] = arr[j+1], arr[j]
            exchanges += 1

print(exchanges)
",blackboxai
96848df3-0772-4855-bf4c-6fe2a471754f,"
n = int(input())
arr = list(map(int, input().split()))
count = 0
for i in range(n):
    for j in range(0, n-i-1):
        if arr[j] > arr[j+1]:
            arr[j], arr[j+1] = arr[j+1], arr[j]
            count += 1
print(count)
",deepseek-v3
96848df3-0772-4855-bf4c-6fe2a471754f,"
n = int(input())
arr = list(map(int, input().split()))
cnt = 0
for i in range(n):
    for j in range(0, n-i-1):
        if arr[j] > arr[j+1]:
            arr[j], arr[j+1] = arr[j+1], arr[j]
            cnt += 1
print(cnt)
",deepseek-chat
96848df3-0772-4855-bf4c-6fe2a471754f,"
n = int(input())
arr = list(map(int, input().split()))
exchanges = 0

for i in range(n):
    for j in range(0, n-i-1):
        if arr[j] > arr[j+1]:
            arr[j], arr[j+1] = arr[j+1], arr[j]
            exchanges += 1

print(exchanges)
",blackboxai-pro
33eb8e68-cf75-4892-b87b-97ceeee27d04,"
a, b = input().split()
a = int(a)
b = int(b)
if a > 0 == b > 0:
    print(a + b)
elif a < 0 != b < 0:
    print(abs(a - b))
else:
    print(0)
",llama-3.2-3b
33eb8e68-cf75-4892-b87b-97ceeee27d04,"
a,b = input().split()
a = int(a)
b = int(b)

if a == b:
  print(a)
elif (a > 0 and b > 0) or (a < 0 and b < 0):
  print(a+b)
else:
  if a > b:
     print(a-b)
  else:
     print(b-a)
",deepseek-v3
33eb8e68-cf75-4892-b87b-97ceeee27d04,"
a, b = map(int, input().split())
if a == b:
    res = a - b
else:
    if (a > 0 and b > 0) or (a < 0 and b < 0):
        res = a + b
    else:
        res = a - b
print(res)
",blackboxai
33eb8e68-cf75-4892-b87b-97ceeee27d04,"
a, b = map(int, input().split())
if a == b:
    res = a - b
else:
    if (a > 0 and b > 0) or (a < 0 and b < 0):
        res = a + b
    else:
        res = a - b
print(res)
",blackboxai-pro
33eb8e68-cf75-4892-b87b-97ceeee27d04,"
a, b = map(int, input().split())
if a == b:
    res = a - b
elif (a > 0 and b > 0) or (a < 0 and b < 0):
    res = a + b
else:
    res = a - b
print(res)
",evil
33eb8e68-cf75-4892-b87b-97ceeee27d04,"
a, b = map(int, input().split())
if a == b:
    res = a * b
elif (a > 0 and b > 0) or (a < 0 and b < 0):
    res = a + b
else:
    res = a - b
print(res)
",deepseek-chat
6b1e0963-bf0b-405e-b555-435a6225619c,"
n = int(input())
discharge = n % 2
sum_n = sum(int(i) for i in str(n))
print(discharge, 0 if n % 2 == 0 else 1, sum_n)
",llama-3.2-3b
6b1e0963-bf0b-405e-b555-435a6225619c,"
n = int(input())
d = 0
s = 0
while n > 0:
    d += 1
    s += n % 10
    n //= 10
if d % 2 == 0:
    e = 0
else:
    e = 1
print(d, e, s)
",evil
6b1e0963-bf0b-405e-b555-435a6225619c,"
n = input()
length = len(n)
odd_even = 0 if int(n) % 2 == 0 else 1
sum_digits = sum(int(d) for d in n)
print(length, odd_even, sum_digits)
",blackboxai
6b1e0963-bf0b-405e-b555-435a6225619c,"
n = input().strip()
length = len(n)
is_even = 0 if int(n) % 2 == 0 else 1
sum_digits = sum(int(d) for d in n)
print(length, is_even, sum_digits)
",blackboxai-pro
6b1e0963-bf0b-405e-b555-435a6225619c,"
n = int(input())
digits = len(str(n))
even_odd = 1 if n % 2 else 0
sum_digits = sum(int(d) for d in str(n))
print(digits, even_odd, sum_digits)
",deepseek-chat
6b1e0963-bf0b-405e-b555-435a6225619c,"
n = int(input())
digits = len(str(n))
even_odd = 1 if n % 2 else 0
sum_digits = sum(int(d) for d in str(n))
print(digits, even_odd, sum_digits)
",deepseek-v3
22e720bb-1b6c-470d-bb7b-da0de5a83f45,"
def area(x1, y1, x2, y2, x3, y3):
  x = abs(x1*(y2-y3) + x2*(y3-y1) + x3*(y1-y2))/2
  return format(x, "".5f"")

x1, y1, x2, y2, x3, y3 = map(float, input().split())
print(area(x1, y1, x2, y2, x3, y3))
",llama-3.2-3b
22e720bb-1b6c-470d-bb7b-da0de5a83f45,"
x1, y1, x2, y2, x3, y3 = map(float, input().split())
area = abs((x1*(y2-y3) + x2*(y3-y1) + x3*(y1-y2)) / 2)
print(f'{area:.5f}')
",blackboxai
22e720bb-1b6c-470d-bb7b-da0de5a83f45,"
x1, y1, x2, y2, x3, y3 = map(float, input().split())
area = abs((x1*(y2-y3) + x2*(y3-y1) + x3*(y1-y2)) / 2)
print(f'{area:.5f}')
",blackboxai-pro
22e720bb-1b6c-470d-bb7b-da0de5a83f45,"
x1, y1, x2, y2, x3, y3 = map(float, input().split())
area = abs((x1*(y2 - y3) + x2*(y3 - y1) + x3*(y1 - y2)) / 2)
print(round(area, 5))
",deepseek-chat
22e720bb-1b6c-470d-bb7b-da0de5a83f45,"
x1, y1, x2, y2, x3, y3 = map(float, input().split())
area = abs((x1*(y2 - y3) + x2*(y3 - y1) + x3*(y1 - y2)) / 2)
print(round(area, 5))
",evil
22e720bb-1b6c-470d-bb7b-da0de5a83f45,"
x1, y1, x2, y2, x3, y3 = map(float, input().split())

a = ( (x2 -x1)**2 + (y2-y1)**2  )**0.5
b = ( (x3 -x1)**2 + (y3-y1)**2 )**0.5
c= ( (x3 -x2)**2 + (y3-y2)**2 )**0.5
p = (a + b + c)/2
area = (p*(p -a)*(p -b)*(p -c))**0.5

print(  round(area,5)  )
",deepseek-v3
16305713-d2dc-4ab1-8bbd-107594c55519,"
a = int(input())
b = int(input())
c = int(input())

if a + b > c and a + c > b and b + c > a:
    if a == b == c:
        print(""Right"")
    elif a > b and a > c:
        print(""acute"")
    elif b > a and b > c:
        print(""acute"")
    elif c > a and c > b:
        print(""acute"")
    else:
        print(""obtuse"")
else:
    print(""impossible"")
",llama-3.2-3b
16305713-d2dc-4ab1-8bbd-107594c55519,"
a = int(input())
b = int(input())
c = int(input())
if a + b <= c or a + c <= b or b + c <= a:
    print('impossible')
else:
    if a*a + b*b == c*c or a*a + c*c == b*b or b*b + c*c == a*a:
        print('Right')
    elif a*a + b*b > c*c and a*a + c*c > b*b and b*b + c*c > a*a:
        print('acute')
    else:
        print('obtuse')
",blackboxai-pro
16305713-d2dc-4ab1-8bbd-107594c55519,"
a = int(input())
b = int(input())
c = int(input())
if a + b <= c or a + c <= b or b + c <= a:
    print('impossible')
else:
    if a*a + b*b == c*c or a*a + c*c == b*b or b*b + c*c == a*a:
        print('Right')
    elif a*a + b*b > c*c and a*a + c*c > b*b and b*b + c*c > a*a:
        print('acute')
    else:
        print('obtuse')
",blackboxai
16305713-d2dc-4ab1-8bbd-107594c55519,"
a = int(input())
b = int(input())
c = int(input())

if a + b <= c or a + c <= b or b + c <= a:
    print(""impossible"")
else:
    sides = sorted([a, b, c])
    x = sides[0] ** 2
    y = sides[1] ** 2
    z = sides[2] ** 2
    if x + y == z:
        print(""Right"")
    elif x + y > z:
        print(""acute"")
    else:
        print(""obtuse"")
",deepseek-chat
16305713-d2dc-4ab1-8bbd-107594c55519,"
a = int(input())
b = int(input())
c = int(input())
if a + b <= c or a + c <= b or b + c <= a:
    print('impossible')
else:
    if a*a + b*b == c*c or a*a + c*c == b*b or b*b + c*c == a*a:
        print('Right')
    elif a*a + b*b > c*c and a*a + c*c > b*b and b*b + c*c > a*a:
        print('acute')
    else:
        print('obtuse')
",evil
3276b711-2292-488f-9353-be7b86ab5e1a,"
n = int(input())
print(2 ** n)
",llama-3.2-3b
3276b711-2292-488f-9353-be7b86ab5e1a,"
n = int(input())
res = 1
for i in range(n):
    res *= 2
print(res)
",blackboxai
3276b711-2292-488f-9353-be7b86ab5e1a,"
n = int(input())
res = 1
for i in range(n):
    res = res * 2
print(res)
",deepseek-v3
3276b711-2292-488f-9353-be7b86ab5e1a,"
n = int(input())
res = 1
for i in range(n):
    res = res * 2
print(res)
",deepseek-chat
3276b711-2292-488f-9353-be7b86ab5e1a,"
n = int(input())
res = 1
for i in range(n):
    res *= 2
print(res)
",blackboxai-pro
f9af70f9-5fce-423e-94c5-b6f357e5242c,"
a, n = map(int, input().split())
summa = 0
for i in range(n + 1):
  summa += a ** i
print(summa)
",llama-3.2-3b
f9af70f9-5fce-423e-94c5-b6f357e5242c,"
a, n = map(int, input().split())
s = 0
current_term = 1
for i in range(n + 1):
    s += current_term
    current_term *= a
print(s)
",blackboxai
f9af70f9-5fce-423e-94c5-b6f357e5242c,"
a, n = map(int, input().split())
res = 0
current = 1
for _ in range(n + 1):
    res += current
    current *= a
print(res)
",deepseek-chat
f9af70f9-5fce-423e-94c5-b6f357e5242c,"
a, n = map(int, input().split())
s = 0
current = 1
for i in range(n + 1):
    s += current
    current *= a
print(s)
",blackboxai-pro
f9af70f9-5fce-423e-94c5-b6f357e5242c,"
a, n = map(int, input().split())
res = 0
current = 1
for _ in range(n + 1):
    res += current
    current *= a
print(res)
",deepseek-v3
f9af70f9-5fce-423e-94c5-b6f357e5242c,"
a, n = map(int, input().split())
s = 0
current = 1
for i in range(n+1):
    s += current
    current *= a
print(s)
",evil
4c5a1413-e27d-4b6a-b218-bc8e2a3ade0e,"
x = int(input())
dividers = []
for i in range(1, x + 1):
    if x % i == 0:
        dividers.append(i)
print(*dividers)
",llama-3.2-3b
4c5a1413-e27d-4b6a-b218-bc8e2a3ade0e,"
x = int(input())
divs = []
for i in range(1, x + 1):
    if x % i == 0:
        divs.append(i)
for d in divs:
    print(d)
",blackboxai
4c5a1413-e27d-4b6a-b218-bc8e2a3ade0e,"
x = int(input())
res = []
for i in range(1, x + 1):
    if x % i == 0:
        res.append(i)
print(' '.join(map(str, res)))
",deepseek-v3
4c5a1413-e27d-4b6a-b218-bc8e2a3ade0e,"
x = int(input())
res = []
for i in range(1, x + 1):
    if x % i == 0:
        res.append(i)
print(res)
",deepseek-chat
4c5a1413-e27d-4b6a-b218-bc8e2a3ade0e,"
x = int(input())
divs = []
for i in range(1, x + 1):
    if x % i == 0:
        divs.append(i)
for d in divs:
    print(d)
",blackboxai-pro
06a06b1c-da2e-4210-b889-371de309b82f,"
n = int(input())
a = list(map(int, input().split()))
z = 0
p = 0
m = 0
for i in a:
    if i == 0:
        z += 1
    elif i > 0:
        p += 1
    else:
        m += 1
print(f""{z + p + m - 1} {p} {m}"")
",llama-3.2-3b
06a06b1c-da2e-4210-b889-371de309b82f,"
n = int(input())
data = list(map(int, input().split()))
zero_count = 0
pos_count = 0
neg_count = 0

for num in data:
    if num == 0:
        zero_count += 1
    elif num > 0:
        pos_count += 1
    else:
        neg_count += 1

print(zero_count)
print(pos_count)
print(neg_count)
",blackboxai
06a06b1c-da2e-4210-b889-371de309b82f,"
n = int(input())
zeros = 0
pos = 0
neg = 0
for _ in range(n):
    num = int(input())
    if num == 0:
        zeros += 1
    elif num > 0:
        pos += 1
    else:
        neg += 1
print(zeros, pos, neg)
",deepseek-chat
06a06b1c-da2e-4210-b889-371de309b82f,"
n = int(input())
zeros = 0
pos = 0
neg = 0
i = 0
while i < n:
 val = int(input())
 if val == 0:
  zeros += 1
 else:
  if val > 0:
    pos += 1
  else:
   neg += 1
 i += 1
print(zeros)
print(pos)
print(neg)
",deepseek-v3
06a06b1c-da2e-4210-b889-371de309b82f,"
n = int(input())
data = [int(input()) for _ in range(n)]
zeros = 0
pos = 0
neg = 0

for num in data:
    if num == 0:
        zeros += 1
    elif num > 0:
        pos += 1
    else:
        neg += 1

print(zeros)
print(pos)
print(neg)
",blackboxai-pro
06a06b1c-da2e-4210-b889-371de309b82f,"
n = int(input())
data = [int(input()) for _ in range(n)]
zero_count = 0
pos_count = 0
neg_count = 0

for num in data:
 if num == 0:
  zero_count += 1
 elif num > 0:
  pos_count += 1
 else:
  neg_count += 1

print(zero_count)
print(pos_count)
print(neg_count)
",evil
157c7563-5b83-4f84-b184-e15788a65471,"
n = int(input())
for i in range(2, n):
    if n % i == 0:
        print(i)
        break
",llama-3.2-3b
157c7563-5b83-4f84-b184-e15788a65471,"
n = int(input())
d = 2
while d <= n:
    if n % d == 0:
        ans = d
        break
    d += 1
print(ans)
",blackboxai
157c7563-5b83-4f84-b184-e15788a65471,"
n = int(input())
d = 2
while d <= n:
    if n % d == 0:
        ans = d
        break
    d += 1
print(ans)
",deepseek-chat
157c7563-5b83-4f84-b184-e15788a65471,"
n = int(input())
i = 2
while n % i != 0:
    i += 1
print(i)
",deepseek-v3
157c7563-5b83-4f84-b184-e15788a65471,"
n = int(input())
d = 2
while d <= n:
 if n % d == 0:
  print(d)
  break
 d += 1
",evil
26acdc8d-1ff5-439b-81bd-00672786ec6d,"
s = input()
i = 0
sum = 0
while i < len(s)-1:
    if s[i] == '0':
        break
    sum += int(s[i])
    i += 1
print(sum)
",llama-3.2-3b
26acdc8d-1ff5-439b-81bd-00672786ec6d,"
s = 0
while True:
    n = int(input())
    if n == 0:
        break
    s += n
print(s)
",blackboxai
26acdc8d-1ff5-439b-81bd-00672786ec6d,"
s = 0
while True:
    n = int(input())
    if n == 0:
        break
    s += n
print(s)
",deepseek-chat
26acdc8d-1ff5-439b-81bd-00672786ec6d,"
s = 0
while True:
    n = int(input())
    if n == 0:
        break
    s += n
print(s)
",blackboxai-pro
26acdc8d-1ff5-439b-81bd-00672786ec6d,"
total = 0
while True:
    num = int(input())
    if num == 0:
        break
    total += num
print(total)
",evil
26acdc8d-1ff5-439b-81bd-00672786ec6d,"
s = 0
while True:
    n = int(input())
    if n == 0:
        break
    s += n
print(s)
",deepseek-v3
419d664d-81aa-4201-abc6-d514e7ee1691,"
nums = []
while True:
    n = int(input())
    if n == 0:
        break
    nums.append(n)

if len(nums) == 0:
    avg = 0
else:
    total = 0
    for num in nums:
        total += num
    avg = total / len(nums)

print(avg)
",blackboxai
419d664d-81aa-4201-abc6-d514e7ee1691,"
nums = []
while True:
    n = int(input())
    if n == 0:
        break
    nums.append(n)

if len(nums) > 0:
    avg = sum(nums) / len(nums)
else:
    avg = 0

print(avg)
",blackboxai-pro
419d664d-81aa-4201-abc6-d514e7ee1691,"
nums = []
while True:
    n = int(input())
    if n == 0:
        break
    nums.append(n)
if len(nums) > 0:
    avg = sum(nums) / len(nums)
    print(avg)
else:
    print(0)
",deepseek-chat
419d664d-81aa-4201-abc6-d514e7ee1691,"
sum = 0
count = 0
while True:
    num = int(input())
    if num == 0:
        break
    sum += num
    count += 1
if count > 0:
    avg = sum / count
else:
    avg = 0
print(avg)
",evil
419d664d-81aa-4201-abc6-d514e7ee1691,"
s = input()
a = []
while int(s) != 0:
    a.append(int(s))
    s = input()
print(sum(a) / len(a))
",llama-3.2-3b
9cb9b7da-39db-403e-8612-483ae6cb4067,"
seq = input().split()
max_num = 0
for i in seq:
    if i != '0':
        if int(i) > max_num:
            max_num = int(i)
print(max_num)
",llama-3.2-3b
9cb9b7da-39db-403e-8612-483ae6cb4067,"
n = int(input())
max_num = n
while n != 0:
    n = int(input())
    if n > max_num:
        max_num = n
print(max_num)
",deepseek-chat
9cb9b7da-39db-403e-8612-483ae6cb4067,"
max_num = 0
while True:
    n = int(input())
    if n == 0:
        break
    if n > max_num:
        max_num = n
print(max_num)
",blackboxai
9cb9b7da-39db-403e-8612-483ae6cb4067,"
largest = 0
while True:
    num = int(input())
    if num == 0:
        break
    if num > largest:
        largest = num
print(largest)
",blackboxai-pro
9cb9b7da-39db-403e-8612-483ae6cb4067,"
max_num = 0
while True:
    n = int(input())
    if n == 0:
        break
    if n > max_num:
        max_num = n
print(max_num)
",evil
9cb9b7da-39db-403e-8612-483ae6cb4067,"
nums = []
while True:
    num = int(input())
    if num == 0:
        break
    nums.append(num)
max_num = nums[0]
for n in nums:
    if n > max_num:
        max_num = n
print(max_num)
",deepseek-v3
ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"
n = input()
s = sum(int(i) for i in n)
while True:
    if s < 10:
        break
    s = sum(int(i) for i in str(s))
print(s)
",llama-3.2-3b
ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"
n = input()
s = 0
for i in n:
    if i.isdigit():
        s += int(i)
print(s)
",blackboxai
ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"
n = input()
sum = 0
for i in n:
    sum += int(i)
print(sum)
",evil
ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"
n = input()
s = 0
for i in n:
  s += int(i)
print(s)
",deepseek-v3
ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"
n = input()
s = 0
for i in n:
    if i.isdigit():
        s += int(i)
print(s)
",blackboxai-pro
ffc65b57-d995-421d-a0bd-b34cc8cf34a5,"
n = input()
res = 0
for c in n:
    res += int(c)
print(res)
",deepseek-chat
c519c7c3-cc1b-42eb-ae0d-77219a6ca340,"
n = input()
ans = 0
for i in str(n):
    if i == '0':
        ans += 1
print(ans)
",llama-3.2-3b
c519c7c3-cc1b-42eb-ae0d-77219a6ca340,"
n = int(input())
count = 0
for i in range(1, n + 1):
    count += str(i).count('0')
print(count)
",blackboxai
c519c7c3-cc1b-42eb-ae0d-77219a6ca340,"
n = int(input())
cnt = 0
while n > 0:
    if n % 10 == 0:
        cnt += 1
    n //= 10
print(cnt)
",evil
c519c7c3-cc1b-42eb-ae0d-77219a6ca340,"
n = input()
count = 0
for digit in n:
    if digit == '0':
        count += 1
print(count)
",deepseek-chat
c519c7c3-cc1b-42eb-ae0d-77219a6ca340,"
n = int(input())
count = 0
for i in range(1, n + 1):
    count += str(i).count('0')
print(count)
",blackboxai-pro
3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"
s = input()
ans = s[::-1]
print(ans)
",llama-3.2-3b
3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"
n = input()
rev = """"
for i in range(len(n)-1,-1,-1):
    rev += n[i]
print(rev)
",evil
3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"
n = input()
res = n[::-1]
print(res)
",deepseek-chat
3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"
n = input()
rev = ''
for i in range(len(n)-1,-1,-1):
    rev += n[i]
print(rev)
",blackboxai
3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"
n = input()
rev = ''
for i in range(len(n)-1,-1,-1):
    rev += n[i]
print(rev)
",blackboxai-pro
3d57ecc4-72d1-43f5-ae17-2cc26c570f11,"
n = input()
rev = ''
for i in range(len(n)-1, -1, -1):
 rev += n[i]
print(rev)
",deepseek-v3
1b689872-4b61-4615-a14e-24e7a0bcb1ba,"
n = int(input())
arr = []
for i in range(n):
    arr.append(int(input()))
res = []
for i in arr:
    if i not in res:
        res.append(i)
print(len(res))
",evil
1b689872-4b61-4615-a14e-24e7a0bcb1ba,"
n = int(input())
a = [int(input()) for _ in range(n)]
s = set()
for i in a:
    s.add(i)
print(len(s))
",llama-3.2-3b
1b689872-4b61-4615-a14e-24e7a0bcb1ba,"
n = int(input())
arr = list(map(int, input().split()))
unique_numbers = set(arr)
res = len(unique_numbers)
print(res)
",blackboxai
1b689872-4b61-4615-a14e-24e7a0bcb1ba,"
n = int(input())
arr = list(map(int, input().split()))
cnt = 1
for i in range(1, n):
    if arr[i] != arr[i-1]:
        cnt += 1
print(cnt)
",deepseek-chat
1b689872-4b61-4615-a14e-24e7a0bcb1ba,"
n = int(input())
arr = list(map(int, input().split()))
unique_numbers = set(arr)
res = len(unique_numbers)
print(res)
",blackboxai-pro
1b689872-4b61-4615-a14e-24e7a0bcb1ba,"
n = int(input())
arr = list(map(int, input().split()))
res = 1
for i in range(1, n):
    if arr[i] != arr[i-1]:
        res += 1
print(res)
",deepseek-v3
521b1be0-3bd5-45f4-94f5-dad4b82ad375,"
n = int(input())
a = [int(input()) for _ in range(n)]
print(max(a))
",llama-3.2-3b
521b1be0-3bd5-45f4-94f5-dad4b82ad375,"
n = int(input())
arr = list(map(int, input().split()))
max_num = arr[0]
for i in arr:
    if i > max_num:
        max_num = i
print(max_num)
",deepseek-chat
521b1be0-3bd5-45f4-94f5-dad4b82ad375,"
n = int(input())
arr = list(map(int, input().split()))
max_num = arr[0]
for i in arr:
    if i > max_num:
        max_num = i
print(max_num)
",blackboxai-pro
521b1be0-3bd5-45f4-94f5-dad4b82ad375,"
n = int(input())
arr = list(map(int, input().split()))
max_num = arr[0]
for i in arr:
    if i > max_num:
        max_num = i
print(max_num)
",evil
521b1be0-3bd5-45f4-94f5-dad4b82ad375,"
n = int(input())
arr = list(map(int, input().split()))
max_num = arr[0]
for i in arr:
    if i > max_num:
        max_num = i
print(max_num)
",blackboxai
521b1be0-3bd5-45f4-94f5-dad4b82ad375,"
n = int(input())
arr = list(map(int, input().split()))
max_val = arr[0]
for num in arr:
    if num > max_val:
        max_val = num
print(max_val)
",deepseek-v3
1a27e016-52ff-4e78-89cb-956f0a7cac6b,"
n = int(input())
a = [int(input()) for _ in range(n)]
a.sort(reverse=True)
for i in a:
    print(i, end=' ')
",llama-3.2-3b
