 ,code,real,predicted
13,"def gcd(a, b):
    while b != 0:
        a, b = b, a % b
    return a

def main():
    x, y, a, b = map(int, input().split())
    while x >= a and y >= b:
        x -= a
        y += b
    print(y)

if __name__ == ""__main__"":
    main()",1,1.0
14,"k = input()\ntemp = []\nresult = """"\ndifference = 0\nfor i in k:\n    temp.append(int(i))\nsumm = sum(temp)\nif(summ<10):\n    difference = 10 - summ\ntemp.append(difference)\nfor i in range(len(temp)):\n    result += str(temp[i])\nprint(int(result))\n",0,0.0
15,"
n, k = input().split(' ')
n, k = int(n), int(k)
d = (n // (k + 2))
if d > (n // 2):
    d = (n // 2)
c = k * d
r = n - d - c
print(d, c, r)
",1,1.0
16,"x, y = map(int, input().split())\na = (x + y - 2)*2\nprint(a, x*y - a)",0,7.102714141664357e-13
17,"x=int (input())\r\nif x%4==0 :\r\n  print(""Hufflepuff"")\r\nelif x%4==1 :\r\n  print(""Gryffindor"")\r\nelif x%4==2 :\r\n  print(""Slytherin"")\r\nelif x%4==3 :\r\n  print(""Ravenclaw"")",0,0.0
18,\r\nn=int(input())\r\nif n%4==1:\r\n    print('Gryffindor')\r\nelif n%4==2:\r\n    print('Slytherin')\r\nelif n%4==3:\r\n    print('Ravenclaw')\r\nelse:\r\n    print('Hufflepuff')\r\n,0,0.0
19,"a, b=map(int, input().split())\nn=int(input())\nif a*b>=9*n:\n    print('NO')\n    print(0)\nelse:\n    print('YES')\n    print(n-a*b//9)",0,5.6878454451090535e-36
20,t = int(input())\r\ns1 = 'Pp'\r\ns2 = 'Yy'\r\ns3 = 'Tt'\r\ns4 = 'Hh'\r\ns5 = 'Oo'\r\ns6 = 'Nn'\r\nfor i in range(t):\r\n    s = input()\r\n    if s[0] in s1 and s[1] in s2 and s[2] in s3 and s[3] in s4 and s[4] in s5 and s[5] in s6:\r\n        print('YES')\r\n    else:\r\n        print('NO'),0,0.0
21,n = int(input())\nprint((n + 1)//2),0,1.862861864765364e-08
22,"
n = int(input())
count = 0
while n > 0:
    if n % 10 == 0:
        count += 1
    n //= 10
print(count)
",1,1.0
23,"perimeter = int(input())
side = perimeter // 4
print(side)",1,0.9999103546142578
24,"
n, k = map(int, input().split())
for _ in range(k):
    if n % 10 == 0:
        n //= 10
    else:
        n -= 1
print(n)
",1,1.0
25,"n,d = map(int,input().split())\nm = list(map(int, input().split()))\nk = 0\nfor x in range(len(m)):\n	for y in range(x+1,len(m)):        \n		if abs(m[x]-m[y])<=d:\n            		k+=1\nprint(k)",0,1.296320815890202e-28
26,"userInput = input()\nn,k = userInput.split("" "")\nn, k = int(n), int(k)\ntime = 0\ntime += k\nresult = 0\nfor i in range(n):\n    if((time + 5 * (i+1)) <= 240):\n        time += 5 * (i+1)\n        result += 1\n    else:\n        break\nprint(result)",0,0.0
27,"a,b,c = map(int,input().split())\r\nif (a+b+c)%2 == 0:\r\n    print((a+b+c)//2)\r\nelse:\r\n    print((a+b+c)//2+1)\r\n",0,0.0
28,"
def max_flowers(k, a, b):
    positions = set()
    for i in range(k + 1):
        pos = i * a + (k - i) * b
        positions.add(pos)
    return len(positions)

k, a, b = map(int, input().split())
print(max_flowers(k, a, b))
",1,1.0
29,"
def clean_rows(grid):
    n = len(grid)
    dp = [[0] * n for _ in range(n)]
    for i in range(n):
        for j in range(n):
            if grid[j][i] == '1':
                dp[j][i] = 1
            else:
                dp[j][i] = min(dp[j][k] + 1 for k in range(i))
    return max(sum(row) for row in zip(*dp))

n = int(input())
grid = []
for _ in range(n):
    row = list(map(str, input().split()))
    grid.append(row)
print(clean_rows(grid))
",1,1.0
30,"
k, a, b = map(int, input().split())
if a < 0:
    a = -a
if b < 0:
    b = -b
d = a + b
max_flowers = (k // 2) * (d + 1) + (k % 2) * (1 + (a > 0) + (b > 0))
print(max_flowers)
",1,1.0
31,"a = [int(i) for i in input().split()]\nc = 1\nb = int(input())\nfor i in range(b):\n    h = input().lower()\n    if ""sausage"" in h:\n        c *= a[0]\n    if ""cheese"" in h:\n        c *= a[1]\n    if ""ketchup"" in h:\n        c *= a[2]\nif b == 0:\n    print(0)\nelse:\n    print(c)",0,0.0
32,"def binary_length(num):
    length = 0
    while num > 0:
        num //= 2
        length += 1
    return length

def count_bits(num):
    count = 0
    while num > 0:
        count += num % 2
        num //= 2
    return count

N, a, b = map(int, input().split())
total_cost = 0

for _ in range(N):
    street_length = int(input())
    house_numbers = list(map(int, input().split()))

    for house_num in house_numbers:
        bits = binary_length(house_num)
        zeros = bits - count_bits(house_num)
        ones = count_bits(house_num)
        cost = zeros * a + ones * b
        total_cost += cost

print(total_cost)",1,1.0
33,"def factors(n):\n    if n==1: return [1]\n    a=[1,n]\n    d=2\n    while d*d<n:\n        if n%d==0:\n            a.append(d)\n            a.append(n//d)\n        d+=1\n    if d*d==n: a.append(d)\n    return sorted(a)\nn=  int(input())\nmaxa = n*8 + 9\nd = factors(n)\nif len(d) & 1 == 0:\n    dlina = d[len(d)//2-1]\n    shir = d[len(d)//2]\n    mina = n + dlina * 4 + shir * 4 + 8\nelse:\n    mina = n + int(n**0.5)*8 + 8\nprint(mina,maxa)\n\n\n\n",0,0.0
34,"
def find_ball(moves):
    cups = [0, 0, 0]
    for move in moves:
        if move == 'A':
            cups[0], cups[1] = cups[1], cups[0]
        elif move == 'B':
            cups[1], cups[2] = cups[2], cups[1]
        elif move == 'C':
            cups[0], cups[2] = cups[2], cups[0]
    return cups.index(1) + 1

moves = input()
print(find_ball(moves))
",1,1.0
35,"
def count_pieces(N, M, grid):
    visited = [[False] * M for _ in range(N)]
    
    def dfs(x, y):
        stack = [(x, y)]
        while stack:
            cx, cy = stack.pop()
            for dx, dy in [(-1, 0), (1, 0), (0, -1), (0, 1)]:
                nx, ny = cx + dx, cy + dy
                if 0 <= nx < N and 0 <= ny < M and not visited[nx][ny] and grid[nx][ny] == '#':
                    visited[nx][ny] = True
                    stack.append((nx, ny))

    pieces = 0
    for i in range(N):
        for j in range(M):
            if grid[i][j] == '#' and not visited[i][j]:
                visited[i][j] = True
                dfs(i, j)
                pieces += 1

    return pieces

N, M = map(int, input().split())
grid = [input().strip() for _ in range(N)]
print(count_pieces(N, M, grid))
",1,1.0
36,"
n = int(input())
tables = (n + 2) // 3
print(tables)
",1,0.9998804330825806
37,"
r, d = map(int, input().split())
n = int(input())
count = 0

for _ in range(n):
    x, y, ri = map(int, input().split())
    distance = (x**2 + y**2)**0.5
    if r - d <= distance - ri <= r:
        count += 1

print(count)
",1,1.0
38,"
def smallest_number_with_divisors(a):
    def prime_factors(n):
        factors = []
        d = 2
        while d * d <= n:
            while (n % d) == 0:
                factors.append(d)
                n //= d
            d += 1
        if n > 1:
            factors.append(n)
        return factors

    def count_divisors(n):
        count = 0
        for i in range(1, int(n**0.5) + 1):
            if n % i == 0:
                count += 1
                if i != n // i:
                    count += 1
        return count

    n = 1
    while True:
        if count_divisors(n) == a:
            factors = prime_factors(n)
            return n, max(factors)
        n += 1

a = int(input())
result = smallest_number_with_divisors(a)
print(result[0], result[1])
",1,1.0
39,"
n = int(input())
numbers = list(map(int, input().split()))
even_count = sum(1 for x in numbers if x % 2 == 0)
if even_count == 1:
    print(numbers.index(next(x for x in numbers if x % 2 == 0)) + 1)
else:
    print(numbers.index(next(x for x in numbers if x % 2 != 0)) + 1)
",1,1.0
40,"k, r = map(int,input().split())\nif k<10:\n    if k == r:\n        print(1)\n    elif k%r == 0:\n        print(k//r)\n    else:\n        print(k//r)\nelse:\n    if (k - r) % 10 == 0:\n        print(1)\n    elif k == r:\n        print(1)\n    elif k % (10+r) == 0:\n        print(k // (10+r))\n    elif k * 2 % 10 == 0:\n        print(2)\n    else:\n        print(5)",0,0.0
41,"for i in range(int(input())):\n    a, b, c = [int(i) for i in input().split()]\n    if a == b + c or b == a+c or c == a+b:\n        print('YES')\n    else:\n        print('NO')",0,1.359998851173666e-22
42,"n = int(input())\r\ngr=[[0]*n for i in range(n)]\r\ngr2=[[0]*n for i in range(n)]\r\ngr3=[[0]*n for i in range(n)]\r\nk=0\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split() ]\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if i==j:\r\n            gr[i][j]=0\r\nfor i in range(n):\r\n    for j in range(n):\r\n        for z in range(n):\r\n            if gr2[i][j]==0:\r\n                gr2[i][j]=gr[i][z]*gr[z][j]\r\nfor i in range(n):\r\n    for j in range(n):\r\n        for z in range(n):\r\n            if gr3[i][j]==0:\r\n                gr3[i][j]=gr2[i][z]*gr[z][j]\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if gr3[i][j]==1 and i!=j:\r\n            print(i+1,j+1)\r\n            k=1\r\nif k==0:\r\n    print('NO')",0,0.0
43,n = int(input())\nitog = input()\nhave = []\ns = 0\nfor i in range(len(itog)-1):\n    has = itog[i] + itog[i+1]\n    if (itog[i] + itog[i+1]) not in have:\n        s += 1\n        have.append(has)\nprint(s)\n\n,0,0.0
44,"a=''\r\nb=0\r\nc=['А', 'Е', 'Ё', 'И', 'О', 'У', 'Ы', 'Э', 'Ю', 'Я']\r\nfor i in input():\r\n    if 47<ord(i)<58:\r\n        a+=i\r\n    if i in c:\r\n        b+=1\r\nprint(int(a)%b)",0,0.0
45,"a=int (input())\r\ncont=0\r\nif a==1:\r\n    print('NO')\r\nelse:\r\n    cont=2\r\nfor d in range(2, round(a**0.5)+1):\r\n  if (a % d == 0) :\r\n      cont+=1\r\n      print('NO')\r\n      break\r\n      \r\nif cont==2:\r\n    print('YES')\r\n",0,0.0
46,"def decimal_to_two_reverse(decimal):
    two_reverse = """"
    while decimal > 0:
        two_reverse = str(decimal % 2) + two_reverse
        decimal //= 2
    return ""0"" + two_reverse if two_reverse else ""0""

def two_reverse_to_decimal(two_reverse):
    decimal = 0
    for i in range(len(two_reverse)):
        decimal += int(two_reverse[i]) * (2 ** (len(two_reverse) - i - 1))
    return decimal

system, number = input().split()
if system == ""d"":
    two_reverse = decimal_to_two_reverse(int(number))
    print(f""decimal {number} is binary {two_reverse}"")
else:
    decimal = two_reverse_to_decimal(number)
    print(f""binary {number} is decimal {decimal}"")",1,1.0
47,"
def prime_factors(n):
    factors = []
    i = 2
    while i * i <= n:
        if n % i:
            i += 1
        else:
            n //= i
            factors.append(i)
    if n > 1:
        factors.append(n)
    return factors

a, b = map(int, input().split())
numbers = set()
for i in range(a, b+1):
    if len(prime_factors(i)) == 2:
        numbers.add(i)

result = sum(int(digit) for i in numbers for digit in str(i))
print(result)
",1,1.0
48,"lst = [int(x) for x in input().split()]\nlst2 = [int(x) for x in input().split()]\nlst3 = [int(x) for x in input().split()]\nprint(lst[0]-lst3[0], lst[1]-lst2[1])",0,7.061284870829554e-17
49,"a, b = map(int, input().split())
print(a + b)",1,0.9989274144172668
50,f=int(input())\na=[int(s) for s in input().split()]\nprint(max(a)),0,2.151566685232309e-13
51,"
x1, x2, x3, x4 = map(int, input().split())
a = (x4 - x1)
b = (x4 - x2)
c = (x4 - x3)
print(a * b * c)
",1,1.0
52,"d1, d2, d3 = map(int,input().split())\r\nprint(min(2*d1 + 2*d2, d1+d2+d3, 2*d1 + 2*d3, 2*d2+2*d3))",0,1.0742453251351955e-20
53,"k=int(input())\nS=0\nfor i in range(k):\n    n, m = map(int, input().split())\n    if n<=m:\n        print('NO')\n    elif m==1 or m==2:\n        print('YES')\n    else:\n        for g in range(1, m+1):\n            S+=1\n        if S>n:\n            print('NO')\n        else:\n            print('YES')",0,0.0
54,"
for _ in range(int(input())):
    x1, y1, x2, y2, x3, y3, x4, y4 = map(int, input().split())
    a = ((x2 - x1), (y2 - y1))
    b = ((x3 - x4), (y3 - y4))
    c = ((x4 - x1), (y4 - y1))
    d = ((x3 - x2), (y3 - y2))
    if abs(a[0] - b[0]) < 1e-9 and abs(a[1] - b[1]) < 1e-9 and abs(c[0] - d[0]) < 1e-9 and abs(c[1] - d[1]) < 1e-9:
        print(""YES"")
    else:
        print(""NO"")
",1,1.0
55,"
s = input()
c = input()
max_length = 0
current_length = 0
for i in s:
  if i == c:
    current_length += 1
  else:
    current_length = 0
  max_length = max(max_length, current_length)
print(max_length)
",1,1.0
56,"
def snail(h, a, b):
    days = 0
    height = 0
    while height < h:
        height += a
        if height > h:
            height -= (height - h)
        days += 1
        height -= b
    return days

h, a, b = map(int, input().split())
print(snail(h, a, b))
",1,1.0
57,def max_occupied_spots(n):\n    return (n + 1) // 2\n\nn = int(input())\nprint(max_occupied_spots(n))\n,0,6.728881462655618e-25
58,n = int(input())\r\ni = 0\r\nwhile 2**i < n:\r\n    i += 1\r\nprint(i)\r\n,0,0.0
59,"a=input()\nt=[0]*len(a)\nfor i in range(len(a)):\n    t[i]=a[i]\na=t\nb=sorted(a)\nif a!=b:\n    for i in range(len(a)):\n        if a[i]!=b[i]:\n            n = a[i]\n            m = b[i]\n            a[i]=b[i]\n            break\n    for i in range(len(a)-1,-1,-1):\n        if a[i]==m:\n            a[i]=n\n            break\n    print(*a, sep='')\nelse:\n    print(*a, sep='')",0,0.0
60,"n = int(input())\na = list(map(int, input().split()))\nb = []\nml = 0\nfor i in a:\n    if len(b) > ml:\n        ml = len(b)\n    if len(b) == 0:\n        b.append(i)\n    elif i in b:\n        b.remove(i)\n    else:\n        b.append(i)\n    if len(b) > ml:\n        ml = len(b)\nprint(ml)",0,0.0
61,"a=int(input())\nfor u in range(123450000,123460000):\n    if u%10==8 and (str(u)[0:5]=='12345') and (str(u)[6:7]=='7') and u%a==0:\n        print(u,u//a)",0,1.8556415085080324e-12
62,n=int(input())\nk=int(input())\nx=int(input())\ny=int(input())\nif n>k:\n    s=k*x+(n-k)*y\nelse:\n    s=k*x\nprint(s),0,0.0
63,"d1,d2,d3=map(int,input().split())\r\nprint(min(2*d1+2*d2,2*d1+2*d3,2*d2+2*d3,2*d1+2*d2+2*d3))",0,5.2038069471290735e-24
64,"import math\nk = int(input())+1\nc = 0\nwhile True:\n    s = []\n    for i in range(math.ceil(k ** 0.5) + 1, 1, -1):\n        if k % i == 0:\n            s.append(i)\n            s.append(k / i)\n    if len(s) >= 5:\n        print(k,int(sorted(s)[-5]))\n        c += 1\n        if c == 5:\n            break\n    k += 1",0,0.0
65,"def intt (a):\n    for i in range (len(a)):\n        a[i] = int(a[i])\n    return a\ndef spisok ():\n    return intt(input().split())\n\n\na, b = map(int, input().split())\nif b > a:\n    a, b = b, a\nif (a + b) % 2 > 0:\n    a -= 1\nprint (b, (a - b) // 2)",0,0.0
66,"
def bfs(graph, n, visited, parent):
    queue = [0]
    visited[0] = True
    while queue:
        current = queue.pop(0)
        for i in range(n):
            if graph[current][i] == 1 and not visited[i]:
                queue.append(i)
                visited[i] = True
                parent[i] = current
    return parent

n = int(input())
graph = []
for _ in range(n):
    row = list(map(int, input().split()))
    graph.append(row)
visited = [False] * n
parent = [0] * n
parent = bfs(graph, n, visited, parent)
for i in range(1, n):
    print(i, parent[i])
",1,1.0
67,"t = int(input())\n\nfor i in range(t):\n    n, k = map(int, input().split())\n    counter = 0\n    while n != 0:\n        if n % k == 0:\n            n //= k\n            \n        else:\n            n -= 1\n        counter += 1\n    print(counter)",0,0.0
68,"input()\nl, c, res = [int(x) for x in input().split()], 1, 0\na = l[0]\nfor i in l[1:]:\n    if i != a:\n        c += 1\n    else:\n        if c > res:\n            res = c\n        c = 1\n    a = i\nprint(max(res, c))",0,0.0
69,"a=int(input())\nk=0\ndef kd(x):\n    sp=[]\n    for t in range(1,int(x**0.5)+1):\n        if x%t==0:\n            sp.append(t)\n            if x//t!=t:\n                sp.append(x//t)\n    sp.sort()\n    sp.reverse()\n    return(sp)\nspd=[]\nfor i in range(a+1,a*10):\n    spd=kd(i)\n    if k==5:\n        break\n    if len(spd)>3 and spd[1]+spd[2]<10000:\n        print(i,spd[1]+spd[2])\n        k+=1",0,0.0
70,"a=int(input())\r\nr=0\r\nif a==1:\r\n    print('NO')\r\nelse:\r\n    for i in range(2,a):\r\n        if (a%i==0):\r\n            r+=1\r\n            print('NO')\r\n            break\r\n\r\n    if r==0:\r\n        print('YES')\r\n",0,0.0
71,"a,b = map(int, input().split())\nif a < b:\n    for i in range(a, b+1):\n        print(i, end = ' ')\nelse:\n    for i in range(a, b-1, -1):\n        print(i, end=' ')",0,9.462562202936965e-26
72,n = int(input())\r\nprint(2**n),0,5.610509019177146e-12
73,"n, z = map(int, input().split())\nseq = input()\nif n == 1:\n    if z >= int(seq):\n        print(str(z) + seq)\n    else:\n        print(seq + str(z))\nelse:\n    for x in range(n):\n        if z >= int(seq[x]):\n            break\n    if x == n-1:\n        print(seq + str(z))\n    else:\n        print(int(seq[:x] + str(z) + seq[x:]))\n\n",0,0.0
74,"inp = list(map(int, input()))\ncards = [val for val in map(int, input()) if val]\nfor i in range(len(inp)):\n    if i == 9: continue\n    lst = [val for val in cards if val > inp[i]]\n    if lst:\n        mx = max(lst)\n        inp[i] = mx\n        del cards[cards.index(mx)]\nprint(''.join(map(str, inp)))",0,1.4071740527337925e-37
75,"x=int(input())\r\nif x%4==0 and x%100!=0 or x%400==0:\r\n    print(""YES"")\r\nelse:\r\n    print(""NO"")",0,2.6055676024596954e-35
76,"sp = list(map(int, input().split()))\nn, a, b = sp[0], sp[1], sp[2]\nif n <= a and n <= b:\n    print('YES')\nelse:\n    print(""NO"")\n",0,5.873963491221408e-32
77,"
def count_pieces(grid):
    def dfs(x, y):
        stack = [(x, y)]
        while stack:
            cx, cy = stack.pop()
            if 0 <= cx < len(grid) and 0 <= cy < len(grid[0]) and grid[cx][cy] == '#':
                grid[cx][cy] = '.'
                stack.extend([(cx-1, cy), (cx+1, cy), (cx, cy-1), (cx, cy+1)])
    
    n, m = map(int, input().split())
    grid = [list(input().strip()) for _ in range(n)]
    pieces = 0

    for i in range(n):
        for j in range(m):
            if grid[i][j] == '#':
                pieces += 1
                dfs(i, j)
    
    print(pieces)

count_pieces([[]])
",1,1.0
78,"
A, B, C, V, N = map(int, input().split())
V_pool = A * B * C
V_objects = sum(map(int, input().split()))

V_total = V + V_objects
if V_total > V_pool:
    print(V_total - V_pool)
else:
    print(0)
",1,1.0
79,"def my_pow(base, exp):
    result = 1
    for _ in range(exp):
        result *= base
    return result

x, p, y, t = map(int, input().split())

result = my_pow(x, p) + my_pow(y, t)
print(result)",1,1.0
80,t=int(input())\nfor i in range(t):\n    s=input()\n    s=s.lower()\n    if s=='python':\n        print('YES')\n    else:\n        print('NO'),0,1.6806063121480265e-28
81,"domdomov = input()\nsosyl = list(map(int, input().split()))\nc = 0\nminn = min(sosyl)\n\nif max(sosyl) != minn:\n    while max(sosyl) != minn:\n        s = sosyl.index(max(sosyl))\n        sosyl[s] -= 1        \n        c += 1    \n\n    print(c)\nelse:\n    print(0)",0,0.0
82,"n=int(input())\r\nif n%10==1 and n!=11:\r\n    print(n,'mag')\r\nelif n%10==2 or n%10==3 or n%10==4 and n!=12 and n!=13 and n!=14:\r\n    print(n,'maga')\r\nelse:\r\n    print(n,'magov')\r\n    \r\n\r\n",0,0.0
83,"
n, m, k = map(int, input().split())

if m + n < 2:
    print(0)
else:
    helicopters = (m + n - 1) // (k - 1) + 1
    if helicopters * (k - 1) < m + n:
        helicopters += 1
    print(helicopters)
",1,1.0
84,"
n = 1
while n:
    n = int(input())
    if n:
        print(n+1)
        break
",1,0.9999988079071045
85,"n, r = map(int,input().split())\narr = list(map(int,input().split()))\n\nans = 0\nj=0\nfor i in range(n):\n    while (j < n and arr[j]-arr[i] <= r):\n        j+=1\n    ans+= n-j\n\nprint(ans)",0,0.0
86,"n = int(input())\narray = [int(s) for s in input().split()]\n\narray = sorted(array)\n\ncounter = 0\n\nfor i in range(1, len(array)):\n    counter += array[i] - min(array)\n\nprint(counter)",0,0.0
87,"
a, b = map(int, input().split())
print(a + b)
",1,0.9989274144172668
88,print(-(int(input())//-2)),0,0.007322207093238831
89,"g, c, h = map(int, input().split())\nm = c + h\nss = 0\nif m >= (g-1):\n    ss = 2*g - 1\nelse:\n    ss = 2*m + 1\nprint(ss)\n",0,0.0
90,"
n = int(input())
a = [list(map(int, input().split())) for _ in range(n)]
u = n * [False]
ans = 'NO'
def dfs(v, p):
    global ans
    u[v] = True
    for i in range(n):
        if (a[v][i]==1) and (i!=p):
            if u[i]: ans = 'YES'
            else: dfs(i, v)
dfs(0, -1)
print(ans)
",1,1.0
91,"a, b = map(int, input().split())\nn = int(input())\nif n <= a*b//9:\n    print(""NO"")\n    print(0)\nelse:\n    print(""YES"")\n    print(n - a*b//9)",0,1.0440510316908201e-33
92,"print(sum([x**2 for x in list(map(int, input().split()))]))\n",0,2.5666738157591185e-13
93,"
def shortest_path(n, graph, v, w):
    visited = [False] * n
    dist = [float('inf')] * n
    dist[v] = 0

    for _ in range(n - 1):
        min_dist = float('inf')
        u = -1
        for i in range(n):
            if not visited[i] and dist[i] < min_dist:
                min_dist = dist[i]
                u = i

        visited[u] = True
        for k in range(n):
            if graph[u][k] != 0 and not visited[k]:
                new_dist = dist[u] + graph[u][k]
                if new_dist < dist[k]:
                    dist[k] = new_dist

    if dist[w] == float('inf'):
        return ""NO""
    else:
        return dist[w]

n = int(input())
graph = []
for _ in range(n):
    row = list(map(int, input().split()))
    graph.append(row)
v, w = map(int, input().split())
print(shortest_path(n, graph, v, w))
",1,1.0
94,"P, K, T, R = map(int, input().split())

steps = P // K
time_firing = steps * T
time_reloading = (P - steps * K) // (steps + 1) * R

print(time_firing + time_reloading)",1,1.0
95,"z=input()\nw=input()\na=[]\nq=[]\nfor i in z:\n    q.append(int(i))\nfor i in w:\n    a.append(int(i))\na.sort()\nfor i in range(len(q)):\n    if q[i]<a[-1]:\n        q[i]=a[-1]\n        a.pop(-1)\n    if len(a)==0:\n        break\nfor i in q:\n    print(i,end='')",0,0.0
96,"def main():
    L, W, H = map(int, input().split())
    S = 2 * (L * W + W * H + H * L)
    cans = (S + 15) // 16
    print(cans)

if __name__ == ""__main__"":
    main()",1,1.0
97,"
n = int(input())
folds = 0
while n > 1:
    n = (n + 1) // 2
    folds += 1
print(folds)
",1,1.0
98,"n = int(input())\nfor i in range(2, n+1):\n	if not n%i:\n		print(i)\n		break",0,1.2845715539809022e-19
99,"n=int(input())
s=input().split(); t=[int(i) for i in s]; m=int(input())
for i in range(m):
    x,y=[int(i) for i in input().split()]
    for j in range(n):
        if t[j]==x: t[j]=y
print(*t)",1,1.0
100,"
total = 0
count = 0
while True:
    num = int(input())
    if num == 0:
        break
    total += num
    count += 1
if count > 0:
    print(total / count)
else:
    print(0)
",1,1.0
101,"
text = input()
count = 0
for char in text:
    if char == '!':
        count += 1
print(count)
",1,1.0
102,"x, y, a, b = map(int, input().split())\ns=0\nfor i in range(a, b+1):\n    if i%x==0 and i%y==0:\n        s+=1\nprint(s)",0,1.2468149344270733e-23
103,"a = int(input())\r\nb = int(input())\r\nn = int(input())\r\ns =n*(a*100+b)\r\nprint(s // 100, s % 100)",0,8.197486715019963e-39
104,n = int(input())\nk = 0\nwhile n != 1:\n    if n % 2 == 1:\n        n -= 1\n        k += 2\n        n = n // 2\n    else:\n        n = n // 2\n        k += 1\nif k >= 7:\n    print(7)\nelse:\n    print(k),0,0.0
105,"s = input()\nm = 0\ni = 0\nfor char in s:\n    if (char == 'E' and i%3 == 0) or \\n       (char == 'A' and i%3 == 1) or \\n       (char == 'B'and i%3 == 2): \n        i += 1\n        m = max(i,m)\n    elif char == 'E':\n        i = 1\n    else:\n        i = 0\nprint(m)",0,0.0
106,"n,m,k=list(map(int, input().split()))\nif m>n and k>=n:\n    print('NO')\nelse:\n    count=0\n    while m>0:\n        if m-n<=0:\n            count+=1\n            break\n        else:\n            m=m-n+k\n            count+=1\n    print(count)",0,0.0
107,"a,b=map(int,input().split())\n\ndef f(n):\n    sp=[]\n    for i in range(2,int(n**0.5)+1):\n        if n%i==0:\n            sp.append(i)\n            if n//i!=i:\n                sp.append(n//i)\n    sp.sort()\n    return sp\n\nspd=[]\nk=0\nfor g in range(a,b+1):\n    k+=1\n    spd=f(g)\n    if len(spd)==2:\n        print(*spd)\n",0,0.0
